TD,Sample,Sample2,Hours,Dark,R,R2,times
10pm,SM001,sm001,0,0,R1,1,2015-07-26 2200
2am,SM002,sm002,4,1,R2,2,2015-07-27 0200
6am,SM003,sm003,8,2,R3,3,2015-07-27 0600
10am,SM004,sm004,12,3,R4,4,2015-07-27 1000
2pm,SM005,sm005,16,4,R5,5,2015-07-27 1400
6pm,SM008,sm008,20,5,R6,6,2015-07-27 1800
10pm,SM009,sm009,24,6,R7,7,2015-07-27 2200
2am,SM010,sm010,28,7,R8,8,2015-07-28 0200
6am,SM011,sm011,32,8,R9,9,2015-07-28 0600
10am,SM012,sm012,36,9,R10,10,2015-07-28 1000
2pm,SM013,sm013,40,10,R11,11,2015-07-28 1400
6pm,SM016,sm016,44,11,R12,12,2015-07-28 1800
10pm,SM017,sm017,48,12,R13,13,2015-07-28 2200
2am,SM018,sm018,52,13,R14,14,2015-07-29 0200
6am,SM019,sm019,56,14,R15,15,2015-07-29 0600
10am,SM020,sm020,60,15,R16,16,2015-07-29 1000
2pm,SM021,sm021,64,16,R17,17,2015-07-29 1400
6pm,SM024,sm024,68,17,R18,18,2015-07-29 1800
10pm,SM025,sm025,72,18,R19,19,2015-07-29 2200
2am,SM026,sm026,76,19,R20,20,2015-07-30 0200
6am,SM027,sm027,80,20,R21,21,2015-07-30 0600